Price Level,Value,Classic,Select,Prime,Marquee,Opening Day
BATS Crown Club,$207.00 ,$227.00 ,$254.00 ,$344.00 ,$482.00 ,$731.00 
Kia Diamond Club Box,$89.00 ,$95.00 ,$103.00 ,$125.00 ,$176.00 ,$345.00 
Kia Diamond Club,$77.00 ,$83.00 ,$91.00 ,$109.00 ,$163.00 ,$322.00 
Diamond Club Table,$101.00 ,$112.00 ,$127.00 ,$171.00 ,$248.00 ,$480.00 
Craft and Draft Tables,$72.00 ,$76.00 ,$81.00 ,$98.00 ,$121.00 ,$173.00 
Craft and Draft,$72.00 ,$76.00 ,$81.00 ,$98.00 ,$121.00 ,$173.00 
Craft and Draft Benches,$52.00 ,$56.00 ,$61.00 ,$78.00 ,$101.00 ,$153.00 
Dugout Box,$42.00 ,$47.00 ,$54.00 ,$76.00 ,$106.00 ,$179.00 
Dugout Plaza,$34.00 ,$37.00 ,$48.00 ,$65.00 ,$90.00 ,$165.00 
Field Box,$32.00 ,$36.00 ,$39.00 ,$53.00 ,$75.00 ,$135.00 
Field Plaza,$22.00 ,$26.00 ,$31.00 ,$42.00 ,$58.00 ,$105.00 
Loge Infield,$28.00 ,$32.00 ,$37.00 ,$54.00 ,$77.00 ,$128.00 
Loge Outfield,$26.00 ,$31.00 ,$36.00 ,$53.00 ,$76.00 ,$127.00 
Outfield Box,$20.00 ,$23.00 ,$28.00 ,$39.00 ,$55.00 ,$90.00 
Outfield Plaza,$19.00 ,$21.00 ,$25.00 ,$36.00 ,$52.00 ,$87.00 
Hy-Vee Box,$17.00 ,$18.00 ,$19.00 ,$25.00 ,$44.00 ,$85.00 
Hy-Vee View,$15.00 ,$16.00 ,$17.00 ,$23.00 ,$42.00 ,$75.00 
Fountain Seats,$18.00 ,$20.00 ,$25.00 ,$36.00 ,$52.00 ,$87.00 
Rivals Rail,$52.00 ,$56.00 ,$61.00 ,$78.00 ,$101.00 ,$173.00 
Rivals Tables,$52.00 ,$56.00 ,$61.00 ,$78.00 ,$101.00 , NA 
Standing Room Only,$20.00 ,$20.00 ,$20.00 ,$20.00 ,$20.00 ,$60.00 
